   -46.245	   141.176
   -54.253	   141.138
   -37.126	   149.356
   -44.541	   130.101
   -56.858	   158.104
   -54.535	   127.302
   -62.730	   164.627
   -42.027	   135.284
   -42.244	   137.511
   -43.417	   121.976
   -39.431	   145.682
   -51.954	   150.538
   -49.186	   127.935
   -47.473	   155.639
   -48.888	   139.684
   -40.380	   120.364
   -48.367	   152.580
   -48.162	   143.807
   -36.759	   146.508
   -54.549	   154.511
   -63.711	   147.096
   -42.340	   129.027
   -47.050	   128.496
   -49.463	   129.274
   -62.696	   153.369
   -48.800	   138.194
   -47.837	   152.180
   -50.040	   152.806
   -49.388	   142.228
   -54.649	   140.326
   -49.507	   141.762
   -54.293	   136.543
   -60.670	   144.449
   -47.412	   136.499
   -44.671	   125.113
   -40.932	   139.223
   -48.844	   132.527
   -41.183	   145.435
   -40.856	   144.969
   -51.393	   151.483
   -60.636	   143.286
   -49.871	   148.862
   -53.749	   136.251
   -55.482	   131.595
   -52.676	   144.191
   -40.807	   156.191
   -52.666	   151.174
   -48.281	   149.822
   -42.014	   150.055
   -43.268	   143.347
   -47.358	   136.085
   -38.286	   137.983
   -45.487	   135.695
   -47.014	   128.836
   -63.486	   155.562
   -36.043	   147.088
   -35.223	   144.954
   -41.192	   144.469
   -57.579	   144.446
   -43.218	   158.359
   -53.693	   127.132
   -42.401	   141.488
   -43.452	   133.420
   -48.543	   150.946
   -38.393	   147.836
   -43.529	   127.266
   -44.819	   139.578
   -46.086	   155.137
   -49.554	   141.067
   -43.844	   130.941
   -35.966	   164.883
   -49.243	   148.300
   -49.038	   144.406
   -48.571	   149.595
   -50.999	   130.265
   -50.880	   155.555
   -54.550	   155.312
   -52.794	   161.274
   -38.289	   135.223
   -42.297	   135.992
   -51.268	   141.877
   -38.241	   150.121
   -54.957	   148.278
   -56.909	   151.609
   -48.570	   134.725
   -51.452	   157.968
   -41.370	   121.235
   -48.874	   128.715
   -46.280	   134.487
   -38.617	   143.232
   -43.220	   148.342
   -44.869	   126.782
   -39.415	   130.940
